Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹20,490",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Mediatek Dimensity 1080 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"35,242 Ratings & 2,931 Reviews"
"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)","₹20,999",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,4500 mAh Li-ion Battery,4.4,Mediatek Dimensity 920 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"35,953 Ratings & 3,809 Reviews"
"realme C25s (Watery Grey, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,4.4,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"53,534 Ratings & 3,009 Reviews"
"realme 8 Pro (Infinite Black, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,108MP + 8MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,4.4,Qualcomm Snapdragon 720G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"40,815 Ratings & 3,347 Reviews"
"realme C15 Qualcomm Edition (Power Blue, 32 GB)","₹11,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.3,Qualcomm Snapdragon 460 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"4,832 Ratings & 304 Reviews"
"realme 5i (Aqua Blue, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.5,Qualcomm Snapdragon 665 (2 GHz) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"4,12,863 Ratings & 27,177 Reviews"
"realme GT 6T 5G (Fluid Silver, 512 GB)","₹44,990",12 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,5500 mAh Battery,4.6,Not Available,Not Available,645 Ratings & 67 Reviews
"realme GT Master Edition (Luna White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP | 32MP Front Camera,4300 mAh Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"63,789 Ratings & 6,667 Reviews"
"realme C11 2021 (Cool Grey, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,4.4,Octa-core Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"2,38,746 Ratings & 10,128 Reviews"
"realme C25Y (Glacier Blue, 64 GB)","₹8,290",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,4.4,Unisoc T610 Octa Core Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"1,39,811 Ratings & 5,845 Reviews"
